"","UF","code_muni","Municipios","nome_municipio","IEGM_2017","IEGM_2019","IEGM_2021","IEGM_2023","IEGM_media"
"155","Pernambuco","2613503","São José do Belmonte","sao jose do belmonte",0.4915,0.678,0.602,NA,0.5905
"156","Pernambuco","2613602","São José do Egito","sao jose do egito",0.5385,0.5185,0.489,NA,0.515333333333333
"157","Pernambuco","2613701","São Lourenço da Mata","sao lourenco da mata",0.5155,0.4335,0.407,NA,0.452
"158","Pernambuco","2613800","São Vicente Férrer","sao vicente ferrer",0.5625,0.5795,0.4765,NA,0.5395
"159","Pernambuco","2613909","Serra Talhada","serra talhada",0.5335,0.5175,0.5705,0.3565,0.4945
"160","Pernambuco","2614006","Serrita","serrita",0.471,0.5225,0.396,0.3915,0.44525
"161","Pernambuco","2614105","Sertânia","sertania",0.443,0.677,0.627,NA,0.582333333333333
"162","Pernambuco","2614204","Sirinhaém","sirinhaem",0.549,0.4385,0.3625,NA,0.45
"163","Pernambuco","2614402","Solidão","solidao",0.523,0.6145,0.528,NA,0.555166666666667
"164","Pernambuco","2614501","Surubim","surubim",0.5215,0.6275,0.5235,0.336,0.502125
"165","Pernambuco","2614600","Tabira","tabira",0.4905,0.4985,0.529,0.3725,0.472625
"166","Pernambuco","2614709","Tacaimbó","tacaimbo",0.465,0.493,0.5675,NA,0.5085
"167","Pernambuco","2614808","Tacaratu","tacaratu",0.5405,0.484,0.5445,0.3505,0.479875
"168","Pernambuco","2614857","Tamandaré","tamandare",NA,0.5515,0.5295,NA,0.5405
"169","Pernambuco","2615003","Taquaritinga do Norte","taquaritinga do norte",0.581,0.5625,0.5005,0.338,0.4955
"170","Pernambuco","2615102","Terezinha","terezinha",NA,0.447,0.4595,0.464,0.456833333333333
"171","Pernambuco","2615201","Terra Nova","terra nova",0.5655,0.5095,0.5135,0.349,0.484375
"172","Pernambuco","2615300","Timbaúba","timbauba",0.464,0.4735,0.4005,NA,0.446
"173","Pernambuco","2615409","Toritama","toritama",0.5335,0.624,0.652,0.441,0.562625
"174","Pernambuco","2615508","Tracunhaém","tracunhaem",0.4035,0.4255,0.453,NA,0.427333333333333
"175","Pernambuco","2615607","Trindade","trindade",0.4775,0.544,0.459,0.342,0.455625
"176","Pernambuco","2615706","Triunfo","triunfo",0.723,0.665,0.6575,0.4595,0.62625
"177","Pernambuco","2615805","Tupanatinga","tupanatinga",NA,0.419,0.455,0.376,0.416666666666667
"178","Pernambuco","2615904","Tuparetama","tuparetama",0.487,0.516,0.542,0.3625,0.476875
"179","Pernambuco","2616001","Venturosa","venturosa",0.522,0.538,0.58,0.438,0.5195
"180","Pernambuco","2616100","Verdejante","verdejante",0.48,0.5275,0.5625,0.348,0.4795
"181","Pernambuco","2616183","Vertente do Lério","vertente do lerio",0.458,0.5035,0.523,NA,0.494833333333333
"182","Pernambuco","2616209","Vertentes","vertentes",0.5025,0.5765,0.6305,0.335,0.511125
"183","Pernambuco","2616308","Vicência","vicencia",0.569,0.508,0.525,NA,0.534
"184","Pernambuco","2616407","Vitória de Santo Antão","vitoria de santo antao",0.52,0.488,0.488,NA,0.498666666666667
"185","Pernambuco","2616506","Xexéu","xexeu",0.594,0.522,0.462,NA,0.526
